id,cuenta_id,num_pago,monto,fecha_pago,estatus
1,23001,1,15000,"2020-11-30","PAGADO"
2,23001,2,15000,"2020-12-07","PAGADO"
3,23001,3,15000,"2020-12-14","PAGADO"
4,23001,4,15000,"2020-12-21","PAGADO"
5,12345,1,18750,"2021-01-08","PARCIAL"
6,12345,2,18750,"2021-01-15","PENDIENTE"
7,12345,3,18750,"2021-01-22","PENDIENTE"
8,12345,4,18750,"2021-01-29","PENDIENTE"
9,10001,1,37500,"2020-12-25","PAGADO"
10,10001,2,37500,"2021-01-01","PAGADO"
11,10001,3,37500,"2021-01-08","PARCIAL"
12,10001,4,37500,"2021-01-15","PENDIENTE"
13,89752,1,20000,"2021-01-01","ATRASADO"
14,89752,2,20000,"2021-01-08","PENDIENTE"
15,89752,3,20000,"2021-01-15","PENDIENTE"
16,89752,4,20000,"2021-01-22","PENDIENTE"
